"time","steps"
2015-05-08,7515
2015-05-09,7433
2015-05-10,5688
2015-05-11,6751
2015-05-12,8440
2015-05-13,7246
2015-05-14,3046
2015-05-15,4457
2015-05-16,11119
2015-05-17,3148
2015-05-18,6288
2015-05-19,3084
2015-05-20,6550
2015-05-21,5705
2015-05-22,5595
2015-05-23,11704
2015-05-24,5812
2015-05-25,9394
2015-05-26,5400
2015-05-27,5503
2015-05-28,8241
2015-05-29,6006
2015-05-30,11341
2015-05-31,5257
2015-06-01,5938
2015-06-02,4960
2015-06-03,5983
2015-06-04,4445
2015-06-05,4896
2015-06-06,9164
2015-06-07,4756
2015-06-08,4638
2015-06-09,7055
2015-06-10,4789
2015-06-11,8197
2015-06-12,6344
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,2182
2015-06-19,8509
2015-06-20,7478
2015-06-21,5527
2015-06-22,4596
2015-06-23,5050
2015-06-24,5569
2015-06-25,8209
2015-06-26,9843
2015-06-27,8105
2015-06-28,5293
2015-06-29,4587
2015-06-30,0
2015-07-01,5813
2015-07-02,0
2015-07-03,7843
2015-07-04,8322
2015-07-05,7048
2015-07-06,5178
2015-07-07,5316
2015-07-08,5492
2015-07-09,4780
2015-07-10,9636
2015-07-11,10348
2015-07-12,3491
2015-07-13,5581
2015-07-14,3710
2015-07-15,4484
