Weight,Waist
87.7,94
87.7,93
87.8,92
87.8,93
87.9,94
88,93
88.1,93
88.1,92
88.2,95
88.2,94
88.2,93
88.2,92
88.3,93
88.3,93
88.3,95
88.3,93
88.3,93
88.3,93
88.3,93
88.3,93
88.3,94
88.4,93
88.4,95
88.4,93
88.4,93
88.4,92
88.4,93
88.4,93
88.4,93
88.5,94
88.5,95
88.5,93
88.5,95
88.5,94
88.5,93
88.6,94
88.6,94
88.6,94
88.6,94
88.6,93
88.7,95
88.7,94
88.7,94
88.7,94
88.7,94
88.8,94
88.8,95
88.8,93
88.8,93
88.8,93
88.8,94
88.8,94
88.8,95
88.9,95
88.9,94
88.9,94
88.9,94
88.9,94
88.9,94
88.9,95
88.9,95
89,93
89,94
89,94
89,94
89,94
89,94
89,95
89,93
89.1,95
89.1,94
89.1,95
89.2,94
89.3,95
89.3,96
89.3,94
89.3,93
89.3,93
89.3,95
89.3,95
89.3,95
89.3,95
89.3,95
89.4,95
89.4,95
89.4,93
89.4,94
89.4,93
89.4,93
89.4,93
89.4,95
89.4,95
89.5,95
89.5,94
89.5,94
89.5,95
89.5,95
89.5,96
89.5,94
89.5,95
89.5,93
89.5,94
89.5,94
89.5,95
89.5,95
89.5,95
89.6,95
89.6,94
89.6,94
89.6,93
89.6,93
89.6,96
89.6,95
89.6,96
89.7,95
89.7,95
89.7,94
89.7,95
89.7,96
89.8,96
89.8,95
89.8,95
89.8,95
89.8,96
89.9,94
89.9,93
90,95
90,96
90,95
90,96
90,96
90,96
90,94
90,95
90,96
90.1,95
90.1,95
90.1,95
90.1,95
90.1,94
90.1,96
90.1,96
90.2,95
90.2,94
90.2,95
90.2,96
90.2,98
90.3,95
90.3,94
90.3,94
90.3,95
90.3,96
90.3,98
90.4,95
90.4,95
90.4,95
90.4,96
90.5,96
90.5,95
90.5,96
90.5,95
90.6,95
90.7,97
90.8,95
90.9,97
90.9,97
90.9,98
91,97
91,97
91,97
91,98
91.1,98
91.1,98
91.1,98
91.2,98
91.2,99
91.2,99
91.3,99
91.3,98
91.3,99
91.3,97
91.4,97
91.5,99
91.5,97
91.5,96
91.6,96
91.6,97
91.6,97
91.6,97
91.6,96
91.6,97
91.6,98
91.6,98
91.7,97
91.7,96
91.7,97
91.7,98
91.7,98
91.7,100
91.7,97
91.7,95
91.8,96
91.8,97
91.8,99
91.8,98
91.8,97
91.9,99
91.9,98
91.9,97
92,96
92,97
92,97
92,100
92.1,97
92.1,97
92.1,97
92.1,98
92.1,99
92.1,99
92.1,97
92.1,95
92.1,97
92.2,98
92.2,98
92.2,100
92.2,99
92.2,98
92.3,97
92.3,98
92.3,98
92.3,99
92.3,98
92.3,97
92.4,98
92.4,97
92.4,99
92.5,100
92.5,99
92.5,98
92.5,99
92.5,98
92.6,97
92.6,100
92.6,96
92.7,98
92.7,96
92.7,97
92.8,98
92.8,100
92.8,98
92.8,99
92.8,97
92.8,97
92.8,98
92.8,97
92.8,96
92.9,100
92.9,100
92.9,99
92.9,99
92.9,99
92.9,99
92.9,99
92.9,99
92.9,96
92.9,97
92.9,98
92.9,97
93,98
93,97
93,99
93,98
93,96
93,97
93,98
93,96
93.1,99
93.1,98
93.1,98
93.1,99
93.1,100
93.1,97
93.1,97
93.1,98
93.1,100
93.1,99
93.1,97
93.1,98
93.1,97
93.2,99
93.2,98
93.2,97
93.2,97
93.2,99
93.2,98
93.3,99
93.3,98
93.3,99
93.3,99
93.3,98
93.3,98
93.4,100
93.4,97
93.4,98
93.4,98
93.5,99
93.5,99
93.5,100
93.5,99
93.5,99
93.5,99
93.5,99
93.5,98
93.5,98
93.5,98
93.6,100
93.6,99
93.6,98
93.6,98
93.6,99
93.7,98
93.7,99
93.7,98
93.7,
93.8,99
93.8,98
93.8,98
93.8,97
93.8,99
93.9,101
93.9,100
93.9,99
93.9,97
93.9,99
93.9,98
93.9,98
94,100
94,99
94,99
94,98
94,98
94,99
94,99
94.1,
94.1,99
94.2,97
94.2,99
94.2,98
94.2,98
94.2,99
94.3,101
94.3,100
94.3,99
94.4,100
94.4,99
94.4,
94.4,
94.4,98
94.4,97
94.4,98
94.4,98
94.4,99
94.4,99
94.5,99
94.5,
94.5,100
94.5,99
94.5,100
94.5,99
94.5,100
94.5,
94.5,99
94.5,99
94.5,
94.5,99
94.6,99
94.6,99
94.6,99
94.7,98
94.7,99
94.7,99
94.8,98
94.8,100
94.8,99
94.8,99
94.8,99
94.9,100
94.9,100
94.9,98
94.9,99
94.9,100
94.9,
94.9,99
94.9,99
94.9,100
95,99
95,98
95,99
95,100
95,100
95,98
95,99
95,100
95.1,99
95.1,99
95.1,99
95.2,101
95.2,100
95.2,101
95.2,101
95.2,100
95.3,100
95.3,99
95.3,98
95.3,101
95.3,100
95.3,99
95.4,99
95.4,99
95.4,101
95.4,99
95.4,99
95.4,
95.4,
95.6,101
95.6,99
95.7,102
95.7,
95.8,
95.8,
96,102
96,101
96.1,101
96.1,102
96.1,102
96.2,101
96.2,101
96.2,101
96.2,101
96.5,103
96.5,103
96.5,101
96.5,103
96.5,102
96.6,103
96.7,102
96.7,102
96.7,103
96.8,104
96.8,102
96.8,104
96.8,102
96.8,103
96.9,103
96.9,103
96.9,102
96.9,104
96.9,103
96.9,103
97,103
97,103
97.1,104
97.1,103
97.2,103
97.4,104
97.4,104
97.4,104
97.4,103
97.5,104
97.5,104
97.5,104
97.5,103
97.6,104
97.7,106
97.7,103
97.7,104
97.8,104
97.8,104
97.9,105
97.9,103
98.2,105
98.4,105
98.4,103
98.4,106
98.4,104
98.4,104
98.5,105
98.5,105
98.7,104
98.7,103
98.9,105
99,106
